# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Jul 26 18:06:36 2025
#
# User preference: *
#
# CONSTRAINT:  where (sy_snum = 1
# CONSTRAINT:  and discoverymethod like '%Radial Velocity%')
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter Radius]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter Radius]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_insollim:    Insolation Flux Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr1:     Stellar Metallicity Upper Unc. [dex]
# COLUMN st_meterr2:     Stellar Metallicity Lower Unc. [dex]
# COLUMN st_metlim:      Stellar Metallicity Limit Flag
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_logglim:     Stellar Surface Gravity Limit Flag
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_vmagerr1:    V (Johnson) Magnitude Upper Unc
# COLUMN sy_vmagerr2:    V (Johnson) Magnitude Lower Unc
# COLUMN sy_kmag:        Ks (2MASS) Magnitude
# COLUMN sy_kmagerr1:    Ks (2MASS) Magnitude Upper Unc
# COLUMN sy_kmagerr2:    Ks (2MASS) Magnitude Lower Unc
# COLUMN sy_gaiamag:     Gaia Magnitude
# COLUMN sy_gaiamagerr1: Gaia Magnitude Upper Unc
# COLUMN sy_gaiamagerr2: Gaia Magnitude Lower Unc
#
pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2
HD 137496 c,HD 137496,1,2,Radial Velocity,2021,Multiple Observatories,0,479.90000000000,1.10000000000,-1.00000000000,0,1.2163000000,0.0087000000,-0.0088000000,0,12.60000000,,,0,1.13000000,,,0,2434.56559762,34.96112477,-34.96112477,0,7.66000000,0.11000000,-0.11000000,0,Msini,0.477000,0.004000,-0.004000,0,,,,,370.00,5.00,-5.00,0,0,G,5799.00,61.00,-61.00,0,1.590000,0.030000,-0.030000,0,1.040000,0.020000,-0.020000,0,-0.0300,0.0400,-0.0400,0,[Fe/H],4.050000,0.100000,-0.100000,0,15h26m58.09s,231.7420543,-16d30m32.41s,-16.5090014,155.31700000,1.73900000,-1.70200000,9.8990000,0.0060000,-0.0060000,8.2440000,0.0360000,-0.0360000,9.7716800,0.0006010,-0.0006010
HD 13808 b,HD 13808,1,2,Radial Velocity,2021,La Silla Observatory,0,14.18150000000,0.00150000000,-0.00150000000,0,0.1051900000,0.0009300000,-0.0011000000,0,3.35000000,,,0,0.29900000,,,0,11.20000000,1.20000000,-0.66000000,0,0.03523896,0.00377560,-0.00207658,0,Msini,0.071000,0.027000,-0.047000,0,,,,,,,,,0,K2 V,5035.00,50.00,-50.00,0,0.781000,0.017000,-0.022000,0,0.771000,0.022000,-0.022000,0,-0.2100,0.0200,-0.0200,0,[Fe/H],4.575460,0.074604,-0.081864,0,02h12m42.74s,33.1780708,-53d44m37.53s,-53.7437591,28.23050000,0.02570000,-0.02580000,8.3600000,0.0300000,-0.0300000,6.2500000,0.0240000,-0.0240000,8.1100600,0.0002720,-0.0002720
HD 13808 c,HD 13808,1,2,Radial Velocity,2021,La Silla Observatory,0,53.75300000000,0.05000000000,-0.08200000000,0,0.2554000000,0.0028000000,-0.0023000000,0,3.13000000,,,0,0.27900000,,,0,9.96000000,1.80000000,-0.96000000,0,0.03133751,0.00566340,-0.00302048,0,Msini,0.156000,0.050000,-0.061000,0,,,,,,,,,0,K2 V,5035.00,50.00,-50.00,0,0.781000,0.017000,-0.022000,0,0.771000,0.022000,-0.022000,0,-0.2100,0.0200,-0.0200,0,[Fe/H],4.575460,0.074604,-0.081864,0,02h12m42.74s,33.1780708,-53d44m37.53s,-53.7437591,28.23050000,0.02570000,-0.02580000,8.3600000,0.0300000,-0.0300000,6.2500000,0.0240000,-0.0240000,8.1100600,0.0002720,-0.0002720
HD 13908 b,HD 13908,1,2,Radial Velocity,2013,Haute-Provence Observatory,0,19.38200000000,0.00600000000,-0.00600000000,0,0.1540000000,0.0025000000,-0.0025000000,0,13.90000000,,,0,1.24000000,,,0,274.91000000,11.12000000,-11.12000000,0,0.86500000,0.03500000,-0.03500000,0,Msini,0.020000,0.018000,-0.018000,0,,,,,,,,,0,F8 V,6255.00,66.00,-66.00,0,1.670000,0.100000,-0.100000,0,1.290000,0.040000,-0.040000,0,0.0100,0.0400,-0.0400,0,[Fe/H],4.110000,0.110000,-0.110000,0,02h18m14.62s,34.5609102,+65d35m39.08s,65.5941901,79.55150000,0.21960000,-0.21850000,7.5200000,0.0300000,-0.0300000,6.2100000,0.0210000,-0.0210000,7.3845000,0.0002010,-0.0002010
HD 13908 c,HD 13908,1,2,Radial Velocity,2013,Haute-Provence Observatory,0,931.00000000000,17.00000000000,-17.00000000000,0,2.0300000000,0.0400000000,-0.0400000000,0,12.80000000,,,0,1.15000000,,,0,1630.40000000,79.45000000,-79.45000000,0,5.13000000,0.25000000,-0.25000000,0,Msini,0.120000,0.020000,-0.020000,0,,,,,,,,,0,F8 V,6255.00,66.00,-66.00,0,1.670000,0.100000,-0.100000,0,1.290000,0.040000,-0.040000,0,0.0100,0.0400,-0.0400,0,[Fe/H],4.110000,0.110000,-0.110000,0,02h18m14.62s,34.5609102,+65d35m39.08s,65.5941901,79.55150000,0.21960000,-0.21850000,7.5200000,0.0300000,-0.0300000,6.2100000,0.0210000,-0.0210000,7.3845000,0.0002010,-0.0002010
HD 13931 b,HD 13931,1,1,Radial Velocity,2009,W. M. Keck Observatory,0,4218.00000000000,390.00000000000,-390.00000000000,0,5.1500000000,0.3300000000,-0.3300000000,0,13.20000000,,,0,1.18000000,,,0,889.91953960,257.44100967,-203.41018048,0,2.80000000,0.81000000,-0.64000000,0,Mass,0.020000,0.040000,-0.040000,0,,,,,,,,,0,G0,5867.00,25.00,-25.00,0,1.250000,0.020000,-0.020000,0,1.300000,0.130000,-0.130000,0,0.0500,,,0,[Fe/H],4.360000,0.040000,-0.040000,0,02h16m47.52s,34.1979991,+43d46m19.94s,43.7722065,47.39630000,0.14460000,-0.14380000,7.6100000,0.0300000,-0.0300000,6.1390000,0.0290000,-0.0290000,7.4546400,0.0003430,-0.0003430
HD 139357 b,HD 139357,1,1,Radial Velocity,2008,Thueringer Landessternwarte Tautenburg,0,1124.79139000000,11.83794000000,-9.83725000000,0,2.9490000000,0.0940000000,-0.0990000000,0,12.10000000,,,0,1.08000000,,,0,6315.56827550,1403.53024531,-1093.01189167,0,19.87100000,4.41600000,-3.43900000,0,Mass,0.099000,0.023000,-0.023000,0,,,,,,,,,0,K4 III,4700.00,70.00,-70.00,0,11.470000,0.750000,-0.750000,0,2.690000,0.258000,-0.258000,0,-0.1300,0.0500,-0.0500,0,[Fe/H],2.900000,0.150000,-0.150000,0,15h35m16.17s,233.8173564,+53d55m19.74s,53.9221505,112.09000000,0.69800000,-0.69800000,5.9727200,0.0230000,-0.0230000,3.4060000,0.3240000,-0.3240000,5.6303000,0.0016537,-0.0016537
HD 14067 b,HD 14067,1,1,Radial Velocity,2014,Okayama Astrophysical Observatory,0,2744.00000000000,16.00000000000,-14.00000000000,0,5.1500000000,0.1400000000,-0.1500000000,0,12.20000000,,,0,1.09000000,,,0,4862.77462710,1970.53612340,-1430.22783150,0,15.30000000,6.20000000,-4.50000000,0,Mass,0.650000,0.027000,-0.028000,0,,,,,,,,,0,G9 III,4815.00,100.00,-100.00,0,12.400000,1.100000,-1.100000,0,2.400000,0.200000,-0.200000,0,-0.1000,0.0800,-0.0800,0,[Fe/H],2.610000,0.100000,-0.100000,0,02h17m10.40s,34.2933480,+23d46m03.56s,23.7676546,142.02400000,0.84500000,-0.83500000,6.5332900,0.0230000,-0.0230000,4.0970000,0.0360000,-0.0360000,6.2375100,0.0004951,-0.0004951
HD 140901 b,HD 140901,1,2,Radial Velocity,2022,Multiple Observatories,1,9.02378000000,0.00013000000,-0.00123000000,0,0.0850000000,0.0030000000,-0.0040000000,0,4.07000000,,,0,0.36300000,,,0,15.57359194,0.63565681,-2.54262726,0,0.04900000,0.00200000,-0.00800000,0,Msini,0.472000,0.086000,-0.151000,0,,,,,,,,,0,G7 IV,5610.00,21.00,-21.00,0,0.950000,0.030000,-0.020000,0,0.990000,0.124000,-0.124000,0,0.0859,0.0067,-0.0067,0,[M/H],4.460000,0.030000,-0.030000,0,15h47m28.56s,236.8689866,-37d55m02.04s,-37.9172333,15.25280000,0.01120000,-0.01120000,6.0100000,0.0300000,-0.0300000,4.3230000,0.0160000,-0.0160000,5.8313500,0.0008507,-0.0008507
HD 140901 c,HD 140901,1,2,Radial Velocity,2022,Multiple Observatories,0,14386.00000000000,8099.00000000000,-4415.00000000000,0,11.8000000000,4.1000000000,-2.5000000000,0,13.40000000,,,0,1.20000000,,,0,572.09113260,158.91420350,-158.91420350,0,1.80000000,0.50000000,-0.50000000,0,Mass,0.770000,0.060000,-0.070000,0,,,,,,,,,0,G7 IV,5610.00,21.00,-21.00,0,0.950000,0.030000,-0.020000,0,1.060000,0.050000,-0.050000,0,0.0859,0.0067,-0.0067,0,[M/H],4.460000,0.030000,-0.030000,0,15h47m28.56s,236.8689866,-37d55m02.04s,-37.9172333,15.25280000,0.01120000,-0.01120000,6.0100000,0.0300000,-0.0300000,4.3230000,0.0160000,-0.0160000,5.8313500,0.0008507,-0.0008507
HD 141004 b,HD 141004,1,1,Radial Velocity,2021,Multiple Observatories,0,15.50830000000,0.00160000000,-0.00180000000,0,0.1238000000,0.0020000000,-0.0020000000,0,3.77000000,,,0,0.33600000,,,0,13.63483866,1.46201067,-1.46201067,0,0.04290000,0.00460000,-0.00460000,0,Msini,0.160000,0.110000,-0.100000,0,,,,,,,,,0,G0Vvar,5885.38,94.35,-94.35,0,1.389372,0.032635,-0.032635,0,1.051904,0.051084,-0.051084,0,0.0247,0.0618,-0.0618,0,[Fe/H],4.173840,0.030528,-0.030528,0,15h46m26.38s,236.6099205,+07d21m09.97s,7.3527684,11.81480000,0.03610000,-0.03590000,4.4154000,0.0230000,-0.0230000,2.9890000,0.2300000,-0.2300000,4.2796500,0.0062141,-0.0062141
HD 141399 b,HD 141399,1,4,Radial Velocity,2014,Multiple Observatories,0,94.44000000000,0.05000000000,-0.05000000000,0,0.4150000000,0.0110000000,-0.0110000000,0,14.30000000,,,0,1.28000000,,,0,143.34133000,9.53490000,-9.53490000,0,0.45100000,0.03000000,-0.03000000,0,Msini,0.040000,0.020000,-0.020000,0,,,,,,,,,0,K0,5600.00,40.00,-40.00,0,1.387236,0.031321,-0.031321,0,1.070000,0.080000,-0.080000,0,0.3500,0.0300,-0.0300,0,[Fe/H],4.280000,0.050000,-0.050000,0,15h46m53.65s,236.7235392,+46d59m10.64s,46.9862880,37.01690000,0.03300000,-0.03290000,7.2085600,0.0230000,-0.0230000,5.4990000,0.0180000,-0.0180000,7.0092600,0.0001860,-0.0001860
HD 141399 c,HD 141399,1,4,Radial Velocity,2014,Multiple Observatories,0,201.99000000000,0.08000000000,-0.08000000000,0,0.6890000000,0.0200000000,-0.0200000000,0,13.60000000,,,0,1.22000000,,,0,422.71390000,25.42640000,-25.42640000,0,1.33000000,0.08000000,-0.08000000,0,Msini,0.048000,0.009000,-0.009000,0,,,,,,,,,0,K0,5600.00,40.00,-40.00,0,1.387236,0.031321,-0.031321,0,1.070000,0.080000,-0.080000,0,0.3500,0.0300,-0.0300,0,[Fe/H],4.280000,0.050000,-0.050000,0,15h46m53.65s,236.7235392,+46d59m10.64s,46.9862880,37.01690000,0.03300000,-0.03290000,7.2085600,0.0230000,-0.0230000,5.4990000,0.0180000,-0.0180000,7.0092600,0.0001860,-0.0001860
HD 141399 d,HD 141399,1,4,Radial Velocity,2014,Multiple Observatories,0,1069.80000000000,6.70000000000,-6.70000000000,0,2.0900000000,0.0600000000,-0.0600000000,0,13.70000000,,,0,1.22000000,,,0,375.03940000,25.42640000,-25.42640000,0,1.18000000,0.08000000,-0.08000000,0,Msini,0.074000,0.025000,-0.025000,0,,,,,,,,,0,K0,5600.00,40.00,-40.00,0,1.387236,0.031321,-0.031321,0,1.070000,0.080000,-0.080000,0,0.3500,0.0300,-0.0300,0,[Fe/H],4.280000,0.050000,-0.050000,0,15h46m53.65s,236.7235392,+46d59m10.64s,46.9862880,37.01690000,0.03300000,-0.03290000,7.2085600,0.0230000,-0.0230000,5.4990000,0.0180000,-0.0180000,7.0092600,0.0001860,-0.0001860
HD 141399 e,HD 141399,1,4,Radial Velocity,2014,Multiple Observatories,0,5000.00000000000,560.00000000000,-2000.00000000000,0,5.0000000000,1.5000000000,-1.5000000000,0,14.10000000,,,0,1.25000000,,,0,209.76780000,31.78300000,-31.78300000,0,0.66000000,0.10000000,-0.10000000,0,Msini,0.260000,0.220000,-0.220000,0,,,,,,,,,0,K0,5600.00,40.00,-40.00,0,1.387236,0.031321,-0.031321,0,1.070000,0.080000,-0.080000,0,0.3500,0.0300,-0.0300,0,[Fe/H],4.280000,0.050000,-0.050000,0,15h46m53.65s,236.7235392,+46d59m10.64s,46.9862880,37.01690000,0.03300000,-0.03290000,7.2085600,0.0230000,-0.0230000,5.4990000,0.0180000,-0.0180000,7.0092600,0.0001860,-0.0001860
HD 141937 b,HD 141937,1,1,Radial Velocity,2002,La Silla Observatory,0,653.21997000000,1.20000000000,-1.20000000000,0,1.5000000000,0.0300000000,-0.0300000000,0,12.50000000,,,0,1.11000000,,,0,3079.77270000,127.13200000,-127.13200000,0,9.69000000,0.40000000,-0.40000000,0,Msini,0.410000,0.010000,-0.010000,0,,,,,,,,,0,G2/G3 V,5870.00,9.00,-9.00,0,1.030000,0.010000,-0.010000,0,1.090000,0.050000,-0.050000,0,0.1100,,,0,[Fe/H],4.450000,0.020000,-0.020000,0,15h52m17.65s,238.0735585,-18d26m09.50s,-18.4359716,33.36220000,0.07190000,-0.07170000,7.2500000,0.0300000,-0.0300000,5.7640000,0.0160000,-0.0160000,7.0914900,0.0001990,-0.0001990
HD 142415 b,HD 142415,1,1,Radial Velocity,2003,La Silla Observatory,0,386.29999000000,1.60000000000,-1.60000000000,0,1.0600000000,0.0200000000,-0.0200000000,0,13.50000000,,,0,1.20000000,,,0,530.77610000,38.13960000,-38.13960000,0,1.67000000,0.12000000,-0.12000000,0,Msini,0.500000,,,0,,,,,,,,,0,G1 V,5940.00,28.00,-28.00,0,1.040000,0.020000,-0.020000,0,1.070000,0.100000,-0.100000,0,0.1300,,,0,[Fe/H],4.440000,0.040000,-0.040000,0,15h57m40.56s,239.4189890,-60d12m02.50s,-60.2006948,35.53180000,0.04180000,-0.04170000,7.3300000,0.0300000,-0.0300000,5.8920000,0.0230000,-0.0230000,7.1778900,0.0002460,-0.0002460
HD 143105 b,HD 143105,1,1,Radial Velocity,2016,Haute-Provence Observatory,0,2.19740000000,0.00030000000,-0.00030000000,0,0.0379000000,0.0009000000,-0.0009000000,0,13.70000000,,,0,1.22000000,,,0,384.57430000,19.06980000,-19.06980000,0,1.21000000,0.06000000,-0.06000000,0,Msini,0.070000,,,1,,,,,,,,,0,F5,6380.00,60.00,-60.00,0,1.647304,0.011231,-0.021426,0,1.510000,0.110000,-0.110000,0,0.1500,0.0400,-0.0400,0,[Fe/H],4.370000,0.040000,-0.040000,0,15h53m36.57s,238.4023547,+68d43m11.92s,68.7199779,46.77890000,0.04350000,-0.04330000,6.7700500,0.0230000,-0.0230000,5.5190000,0.0200000,-0.0200000,6.6258300,0.0002570,-0.0002570
HD 143361 b,HD 143361,1,1,Radial Velocity,2008,Las Campanas Observatory,0,1039.15000000000,1.64000000000,-1.70000000000,0,1.9880000000,0.0180000000,-0.0180000000,0,12.90000000,,,0,1.15000000,,,0,1382.55357045,381.39408840,-209.76674862,0,4.35000000,1.20000000,-0.66000000,0,Mass,0.197000,0.006000,-0.006000,0,,,,,,,,,0,G6 V,5507.00,10.00,-10.00,0,0.916000,0.041000,-0.041000,0,0.968000,0.027000,-0.027000,0,0.1400,0.0600,-0.0600,0,[Fe/H],4.472000,0.043000,-0.043000,0,16h01m50.12s,240.4588405,-44d26m06.21s,-44.4350575,68.51460000,0.29710000,-0.29460000,9.2000000,0.0300000,-0.0300000,7.4880000,0.0180000,-0.0180000,9.0160200,0.0001580,-0.0001580
HD 144899 b,HD 144899,1,1,Radial Velocity,2022,Multiple Observatories,0,40.43914000000,0.03099000000,-0.04979000000,0,0.2420000000,0.0110000000,-0.0120000000,0,4.77000000,,,0,0.42500000,,,0,20.34101805,6.67439655,-5.08525451,0,0.06400000,0.02100000,-0.01600000,0,Msini,0.821000,0.078000,-0.171000,0,,,,,,,,,0,,6126.00,149.78,-123.70,0,1.648020,0.085221,-0.070990,0,1.160000,0.164000,-0.164000,0,,,,,,4.068600,0.070603,-0.103066,0,16h10m17.30s,242.5721002,-47d54m52.86s,-47.9146826,115.66500000,0.51200000,-0.50700000,8.9700000,0.0300000,-0.0300000,7.4990000,0.0230000,-0.0230000,8.8134300,0.0001740,-0.0001740
HD 145377 b,HD 145377,1,1,Radial Velocity,2008,La Silla Observatory,0,103.95000000000,0.13000000000,-0.13000000000,0,0.4500000000,0.0100000000,-0.0100000000,0,12.80000000,,,0,1.14000000,,,0,1913.33660000,152.55840000,-152.55840000,0,6.02000000,0.48000000,-0.48000000,0,Msini,0.310000,0.020000,-0.020000,0,,,,,,,,,0,G3 V,6014.00,20.00,-20.00,0,1.050000,0.020000,-0.020000,0,1.200000,0.140000,-0.140000,0,0.1100,,,0,[Fe/H],4.470000,0.050000,-0.050000,0,16h11m36.47s,242.9019658,-27d04m41.23s,-27.0781199,53.48840000,0.14400000,-0.14310000,9.2360000,0.0460000,-0.0460000,6.7060000,0.0180000,-0.0180000,7.9699900,0.0002220,-0.0002220
HD 145457 b,HD 145457,1,1,Radial Velocity,2010,Subaru Telescope,0,176.13000000000,0.18000000000,-0.20000000000,0,0.7620000000,0.0010000000,-0.0010000000,0,13.20000000,,,0,1.18000000,,,0,888.01256916,41.95334972,-37.18592362,0,2.79400000,0.13200000,-0.11700000,0,Msini,0.111000,0.039000,-0.040000,0,,,,,,,,,0,K0,4757.00,100.00,-100.00,0,9.900000,0.500000,-0.500000,0,1.900000,0.300000,-0.300000,0,-0.1400,0.0900,-0.0900,0,[Fe/H],2.770000,0.100000,-0.100000,0,16h10m03.89s,242.5162215,+26d44m34.46s,26.7429068,135.29200000,0.40350000,-0.40350000,6.5722600,0.0230000,-0.0230000,4.1220000,0.0420000,-0.0420000,6.2830900,0.0003266,-0.0003266
HD 145675 c,14 Her,1,2,Radial Velocity,2021,Multiple Observatories,0,15732.45889000000,2654.17497000000,-1896.09685000000,0,11.9240000000,1.2960000000,-1.1530000000,0,12.90000000,,,0,1.15000000,,,0,1597.08774518,277.46419931,-339.12291027,0,5.02500000,0.87300000,-1.06700000,0,Mass,0.393000,0.045000,-0.048000,0,,,,,,,,,0,K0V,5338.00,25.00,-25.00,0,0.930000,0.010000,-0.010000,0,0.910000,0.113000,-0.113000,0,0.4052,0.0466,-0.0466,0,[Fe/H],4.450000,0.020000,-0.020000,0,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,17.93230000,0.00730000,-0.00730000,6.6193500,0.0230000,-0.0230000,4.7140000,0.0160000,-0.0160000,6.3830000,0.0003512,-0.0003512
HD 145934 b,HD 145934,1,1,Radial Velocity,2015,W. M. Keck Observatory,0,2751.53433000000,48.76203000000,-49.34891000000,0,4.8900000000,0.1080000000,-0.1130000000,0,13.40000000,,,0,1.19000000,,,0,658.54045930,519.33161704,-15.25576354,0,2.07200000,1.63400000,-0.04800000,0,Mass,0.078000,0.009000,-0.027000,0,,,,,,,,,0,K0,4823.75,78.09,-78.09,0,6.930587,0.171969,-0.171969,0,2.058000,0.118000,-0.118000,0,0.0951,0.0600,-0.0600,0,[Fe/H],3.011205,0.058718,-0.058718,0,16h13m09.89s,243.2912249,+13d14m22.03s,13.2394527,227.88100000,2.39750000,-2.39750000,8.4950000,0.0030000,-0.0030000,6.1450000,0.0150000,-0.0150000,8.2406500,0.0003580,-0.0003580
HD 1461 b,HD 1461,1,2,Radial Velocity,2010,W. M. Keck Observatory,0,5.77152000000,0.00045000000,-0.00045000000,0,0.0634000000,0.0022000000,-0.0022000000,0,2.42000000,,,0,0.21600000,,,0,6.44000000,0.61000000,-0.61000000,0,0.02026240,0.00191927,-0.00191927,0,Msini,0.172000,,,1,,,,,,,,,0,G0 V,5765.00,18.00,-18.00,0,1.152288,0.027110,-0.027110,0,1.020000,,,0,0.1900,0.0100,-0.0100,0,[Fe/H],4.380000,0.030000,-0.030000,0,00h18m42.30s,4.6762645,-08d03m13.03s,-8.0536206,23.45340000,0.03090000,-0.03090000,6.4793300,0.0230000,-0.0230000,4.8970000,0.0230000,-0.0230000,6.2945400,0.0003801,-0.0003801
HD 1461 c,HD 1461,1,2,Radial Velocity,2015,La Silla Observatory,0,13.50520000000,0.00290000000,-0.00290000000,0,0.1117000000,0.0039000000,-0.0039000000,0,2.23000000,,,0,0.19900000,,,0,5.59000000,0.73000000,-0.73000000,0,0.01758802,0.00229683,-0.00229683,0,Msini,0.305000,,,1,,,,,,,,,0,G0 V,5765.00,18.00,-18.00,0,1.152288,0.027110,-0.027110,0,1.020000,,,0,0.1900,0.0100,-0.0100,0,[Fe/H],4.380000,0.030000,-0.030000,0,00h18m42.30s,4.6762645,-08d03m13.03s,-8.0536206,23.45340000,0.03090000,-0.03090000,6.4793300,0.0230000,-0.0230000,4.8970000,0.0230000,-0.0230000,6.2945400,0.0003801,-0.0003801
HD 147018 b,HD 147018,1,2,Radial Velocity,2009,La Silla Observatory,0,44.23600000000,0.00800000000,-0.00800000000,0,0.2388000000,0.0039000000,-0.0039000000,0,13.40000000,,,0,1.19000000,,,0,674.00000000,20.00000000,-20.00000000,0,2.12000000,0.07000000,-0.07000000,0,Msini,0.468600,0.008100,-0.008100,0,,,,,,,,,0,G9 V,5441.00,55.00,-55.00,0,0.937948,0.022735,-0.014395,0,0.927000,0.031000,-0.031000,0,0.1000,0.0500,-0.0500,0,[Fe/H],4.420000,0.040000,-0.040000,0,16h22m59.76s,245.7490012,-61d41m24.46s,-61.6901291,40.42560000,0.07160000,-0.07130000,8.3000000,0.0300000,-0.0300000,6.5710000,0.0210000,-0.0210000,8.1114500,0.0002370,-0.0002370
